
Остатки и доступность товаров

Параметры:	Показать обособленные товары: Нет
Отбор:	Склад В группе из списка "СОХ Санкт-Петербург СТС"

Склад			Сейчас			Ожидается				02.04.2026	Итого
Артикул	Номенклатура, Характеристика	Ед. изм.	В наличии	В резерве	Доступно	Поступит	В резерве	Доступно	Поступит	Поступит	Поступит
СОХ Санкт-Петербург СТС											
02871	Коллектор распределительный стальной 5 контуров отопления, AQUALINK 1/1	шт	11,000		11,000						
02872	Коллектор распределительный стальной 7 контуров отопления, AQUALINK 1/1	шт	6,000		6,000						
03933	Коллектор с шаровыми кранами и евроконусами 3/4x16  2 выхода, AQUALINK   30/2	шт	113,000	6,000	107,000						
03934	Коллектор с шаровыми кранами и евроконусами 3/4x16  3 выхода, AQUALINK   20/2	шт	135,000	2,000	133,000						
03935	Коллектор с шаровыми кранами и евроконусами 3/4x16  4 выхода, AQUALINK   15/1	шт	114,000	3,000	111,000						
02800	Коллекторная группа с настр. и рег. клапанами, авт. возд-ками и дренаж. клап. нерж. сталь 1", 2х3/4", AQUALINK 6/1	шт	15,000	4,000	11,000						
02801	Коллекторная группа с настр. и рег. клапанами, авт. возд-ками и дренаж. клап. нерж. сталь 1", 3х3/4", AQUALINK 1/1	шт	17,000	17,000							
02801	Коллекторная группа с настр. и рег. клапанами, авт. возд-ками и дренаж. клап. нерж. сталь 1", 3х3/4", AQUALINK 6/1	шт	12,000	5,000	7,000						
02802	Коллекторная группа с настр. и рег. клапанами, авт. возд-ками и дренаж. клап. нерж. сталь 1", 4х3/4", AQUALINK 1/1	шт	10,000	4,000	6,000						
02802	Коллекторная группа с настр. и рег. клапанами, авт. возд-ками и дренаж. клап. нерж. сталь 1", 4х3/4", AQUALINK 5/1	шт	23,000		23,000						
02803	Коллекторная группа с настр. и рег. клапанами, авт. возд-ками и дренаж. клап. нерж. сталь 1", 5х3/4", AQUALINK 1/1	шт	29,000	13,000	16,000						
02803	Коллекторная группа с настр. и рег. клапанами, авт. возд-ками и дренаж. клап. нерж. сталь 1", 5х3/4", AQUALINK 5/1	шт	5,000		5,000						
02804	Коллекторная группа с настр. и рег. клапанами, авт. возд-ками и дренаж. клап. нерж. сталь 1", 6х3/4", AQUALINK 1/1	шт	27,000	7,000	20,000						
02805	Коллекторная группа с настр. и рег. клапанами, авт. возд-ками и дренаж. клап. нерж. сталь 1", 7х3/4", AQUALINK 1/1	шт	17,000	17,000							
02805	Коллекторная группа с настр. и рег. клапанами, авт. возд-ками и дренаж. клап. нерж. сталь 1", 7х3/4", AQUALINK 4/1	шт	9,000	5,000	4,000						
02806	Коллекторная группа с настр. и рег. клапанами, авт. возд-ками и дренаж. клап. нерж. сталь 1", 8х3/4", AQUALINK 1/1	шт	15,000		15,000						
02807	Коллекторная группа с настр. и рег. клапанами, авт. возд-ками и дренаж. клап. нерж. сталь 1", 9х3/4", AQUALINK 1/1	шт	9,000		9,000						
02808	Коллекторная группа с настр. и рег. клапанами, авт. возд-ками и дренаж. клап. нерж. сталь 1",10х3/4", AQUALINK 1/1	шт	18,000	10,000	8,000						
02809	Коллекторная группа с настр. и рег. клапанами, авт. возд-ками и дренаж. клап. нерж. сталь 1",11х3/4", AQUALINK 1/1	шт	3,000	3,000							
02810	Коллекторная группа с настр. и рег. клапанами, авт. возд-ками и дренаж. клап. нерж. сталь 1",12х3/4", AQUALINK 1/1	шт	8,000		8,000						
02708	Коллекторная группа с расходомерами, авт. возд-ками, дренаж. клап., нерж. сталь 1", 10х3/4", AQUALINK 1/1	шт	43,000		43,000						
02708	Коллекторная группа с расходомерами, авт. возд-ками, дренаж. клап., нерж. сталь 1", 10х3/4", AQUALINK 3/1	шт	26,000		26,000						
02709	Коллекторная группа с расходомерами, авт. возд-ками, дренаж. клап., нерж. сталь 1", 11х3/4", AQUALINK 1/1	шт	7,000		7,000						
02709	Коллекторная группа с расходомерами, авт. возд-ками, дренаж. клап., нерж. сталь 1", 11х3/4", AQUALINK 2/1	шт	18,000		18,000						
02710	Коллекторная группа с расходомерами, авт. возд-ками, дренаж. клап., нерж. сталь 1", 12х3/4", AQUALINK 1/1	шт	58,000	17,000	41,000						
02710	Коллекторная группа с расходомерами, авт. возд-ками, дренаж. клап., нерж. сталь 1", 12х3/4", AQUALINK 2/1	шт	7,000		7,000						
02700	Коллекторная группа с расходомерами, авт. возд-ками, дренаж. клап., нерж. сталь 1", 2х3/4", AQUALINK 1/1	шт	70,000	2,000	68,000						
02701	Коллекторная группа с расходомерами, авт. возд-ками, дренаж. клап., нерж. сталь 1", 3х3/4", AQUALINK 1/1	шт	119,000	23,000	96,000						
02702	Коллекторная группа с расходомерами, авт. возд-ками, дренаж. клап., нерж. сталь 1", 4х3/4", AQUALINK 5/1	шт	144,000	25,000	119,000						
02703	Коллекторная группа с расходомерами, авт. возд-ками, дренаж. клап., нерж. сталь 1", 5х3/4", AQUALINK 5/1	шт	122,000	9,000	113,000						
02704	Коллекторная группа с расходомерами, авт. возд-ками, дренаж. клап., нерж. сталь 1", 6х3/4", AQUALINK 1/1	шт	122,000	11,000	111,000						
02704	Коллекторная группа с расходомерами, авт. возд-ками, дренаж. клап., нерж. сталь 1", 6х3/4", AQUALINK 4/1	шт	2,000		2,000						
02705	Коллекторная группа с расходомерами, авт. возд-ками, дренаж. клап., нерж. сталь 1", 7х3/4", AQUALINK 1/1	шт	89,000	7,000	82,000						
02705	Коллекторная группа с расходомерами, авт. возд-ками, дренаж. клап., нерж. сталь 1", 7х3/4", AQUALINK 4/1	шт	16,000		16,000						
02706	Коллекторная группа с расходомерами, авт. возд-ками, дренаж. клап., нерж. сталь 1", 8х3/4", AQUALINK 1/1	шт	86,000	3,000	83,000						
02707	Коллекторная группа с расходомерами, авт. возд-ками, дренаж. клап., нерж. сталь 1", 9х3/4", AQUALINK 1/1	шт	37,000	1,000	36,000						
02707	Коллекторная группа с расходомерами, авт. возд-ками, дренаж. клап., нерж. сталь 1", 9х3/4", AQUALINK 3/1	шт	21,000		21,000						
03634	Компенсационная петля  20, AQUALINK 30/5	шт	90,000		90,000						
03635	Компенсационная петля  25, AQUALINK 24/4	шт	88,000		88,000						
